assetCode,name,category,location,status,installDate,model,manufacturer,serialNumber,description
BC02001122,8线吸烟机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC080001,8线剥线钳,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05001007,气动压接机Power 2四点压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000957,压接机Drive Cliq  1,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02140036,气动剥线机Signal  1,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050063,压接机Power 2,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05001032,剥线机Power 2,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050029,压接机Signal  2,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02140038,气剥机HDM2015小剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000956,剥线机M 22015小剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02000578,索铌格2300剥线机M 2,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001100,半自动压接机Drive Cliq  1,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000979,压接机Power 2,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02120075,屏蔽打散机M 2,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05001012,剥线机剥线区大剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02120103,喷码机喷码区白墨,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050041,海昌台式压接机 RS半自动压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000975,气动剥线机M 22015小剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000958,四点压接机M 2四点压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001099,半自动压接机Signal  1绿色压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05001034,松散机Power 1,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050064,压接机HDM半自动压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050037,电缆剥线机M 2半自动压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000976,气动压接机Power 2绿色压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000936,剥线机HDM大剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001095,半自动压接机M 2绿色压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02140026,气动剥线机HDM2015小剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02140031,剥线机M 22015小剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02120055,喷码机喷码区黑墨,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05001001,自动端子机Signal  1压筒状808915,MECHANICAL,AD-Production,ACTIVE,,,,,
